experience_level,employment_type,jobs,salary_in_usd,work_setting,company_location,company_size
Mid-level,Full-time,Data Scientist,79833,In-person,DE,L
Senior,Full-time,Machine Learning and AI,260000,In-person,JP,S
Senior,Full-time,Data Engineering,109024,Hybrid,GB,M
Mid-level,Full-time,Data Analysis,20000,In-person,HN,S
Senior,Full-time,Machine Learning and AI,150000,Hybrid,US,L
Entry-level,Full-time,Data Analysis,72000,Remote,US,L
Senior,Full-time,Data Science and Research,190000,Remote,US,S
Mid-level,Full-time,Data Scientist,35735,Hybrid,HU,L
Mid-level,Full-time,BI and Visualization,135000,Remote,US,L
Senior,Full-time,Data Engineering,125000,Hybrid,NZ,S
Entry-level,Full-time,Data Scientist,51321,In-person,FR,S
Mid-level,Full-time,Data Scientist,40481,In-person,IN,L
Entry-level,Full-time,Data Scientist,39916,In-person,FR,M
Mid-level,Full-time,Data Analysis,87000,Remote,US,L
Mid-level,Full-time,Data Analysis,85000,Remote,US,L
Mid-level,Full-time,Data Analysis,8000,Hybrid,PK,L
Entry-level,Full-time,Data Engineering,41689,Remote,JP,S
Senior,Full-time,Data Engineering,114047,Remote,GB,S
Entry-level,Full-time,Data Architecture and Modeling,5707,Hybrid,IN,M
Mid-level,Full-time,Data Engineering,56000,Remote,US,M
Mid-level,Full-time,Machine Learning and AI,43331,In-person,CN,M
Mid-level,Full-time,Data Analysis,6072,Remote,IN,L
Senior,Full-time,Data Engineering,47899,Hybrid,GR,L
Mid-level,Full-time,BI and Visualization,98000,In-person,US,M
Mid-level,Full-time,Data Science and Research,115000,In-person,AE,L
Entry-level,Full-time,Data Science and Research,42000,Hybrid,NL,L
Senior,Full-time,Data Engineering,33511,In-person,MX,S
Entry-level,Contract,BI and Visualization,100000,Remote,US,L
Senior,Full-time,Leadership and Management,117104,Hybrid,CA,L
Mid-level,Full-time,Leadership and Management,59303,Remote,DE,S
Entry-level,Full-time,Data Engineering,70000,Remote,US,L
Senior,Full-time,Data Scientist,68428,Remote,US,L
Mid-level,Full-time,Data Analysis,46759,Hybrid,FR,L
Mid-level,Full-time,Data Engineering,74130,Hybrid,AT,L
Mid-level,Full-time,Data Architecture and Modeling,103000,Remote,US,L
Entry-level,Full-time,Machine Learning and AI,250000,Hybrid,US,L
Entry-level,Full-time,Data Analysis,10000,Remote,NG,S
Entry-level,Full-time,Machine Learning and AI,138000,Remote,US,S
Mid-level,Full-time,Data Scientist,45760,Remote,US,S
Executive,Full-time,Leadership and Management,79833,Hybrid,ES,L
Mid-level,Full-time,Machine Learning and AI,50180,In-person,PT,M
Mid-level,Full-time,Data Engineering,106000,Remote,US,L
Mid-level,Full-time,Data Engineering,112872,Hybrid,GB,L
Entry-level,Part-time,Machine Learning and AI,15966,Remote,DE,S
Mid-level,Full-time,Data Scientist,76958,Remote,GB,S
Senior,Full-time,Data Engineering,188000,Remote,US,L
Mid-level,Full-time,Data Scientist,105000,Remote,US,L
Mid-level,Full-time,Data Engineering,70139,Hybrid,FR,L
Entry-level,Full-time,Data Analysis,6072,In-person,IN,S
Entry-level,Full-time,Data Analysis,91000,Remote,US,L
Entry-level,Full-time,Machine Learning and AI,45896,Hybrid,DK,S
Entry-level,Full-time,Data Engineering,54742,Remote,DE,L
Senior,Freelance,Computer Vision,60000,Remote,US,S
Senior,Full-time,Data Science and Research,148261,Remote,DE,M
Mid-level,Full-time,Data Scientist,38776,Remote,ES,M
Mid-level,Full-time,Data Scientist,118000,Remote,US,M
Senior,Full-time,Data Scientist,120000,Hybrid,US,L
Mid-level,Full-time,Data Scientist,138350,Remote,US,M
Mid-level,Full-time,Data Engineering,110000,Remote,US,L
Mid-level,Full-time,Data Engineering,130800,Remote,US,M
Entry-level,Part-time,Data Scientist,21669,Hybrid,IT,S
Senior,Full-time,Machine Learning and AI,45618,Remote,HR,S
Entry-level,Full-time,Data Scientist,62726,Hybrid,DE,S
Entry-level,Full-time,Data Scientist,49268,In-person,DE,S
Senior,Full-time,Leadership and Management,190200,Remote,US,M
Entry-level,Full-time,Data Scientist,105000,Remote,US,S
Senior,Full-time,Data Scientist,91237,In-person,AT,S
Mid-level,Full-time,Data Scientist,62726,Hybrid,LU,S
Mid-level,Full-time,Data Scientist,42197,Hybrid,FR,S
Entry-level,Full-time,Data Science and Research,82528,Hybrid,GB,L
Executive,Full-time,BI and Visualization,150000,Remote,US,L
Executive,Full-time,Data Quality and Operations,235000,Remote,US,L
Senior,Full-time,Data Scientist,53192,Hybrid,FR,L
Mid-level,Full-time,BI and Visualization,100000,Remote,US,M
Mid-level,Part-time,Computer Vision,5409,Hybrid,IN,M
Mid-level,Contract,Machine Learning and AI,270000,Remote,US,L
Entry-level,Full-time,Data Analysis,80000,Remote,US,M
Senior,Full-time,Data Engineering,79197,Remote,DE,L
Mid-level,Full-time,Data Engineering,140000,Remote,US,L
Mid-level,Full-time,Data Science and Research,54238,Hybrid,CA,L
Mid-level,Full-time,Machine Learning and AI,47282,Remote,ES,S
Executive,Full-time,Data Science and Research,153667,Remote,PL,L
Mid-level,Full-time,Data Engineering,28476,Remote,PL,L
Entry-level,Full-time,Data Analysis,59102,Hybrid,FR,M
Mid-level,Full-time,Data Engineering,110000,Remote,US,L
Senior,Full-time,Data Analysis,170000,Remote,US,L
Senior,Full-time,Data Analysis,80000,Remote,US,S
Senior,Full-time,Data Analysis,88654,Remote,DK,L
Entry-level,Full-time,Data Architecture and Modeling,76833,Remote,DE,S
Mid-level,Full-time,Data Analysis,19609,Remote,IN,L
Senior,Full-time,Data Engineering,276000,In-person,US,L
Entry-level,Full-time,Data Scientist,29751,Hybrid,IN,L
Mid-level,Full-time,Cloud and Database,89294,Hybrid,SG,L
Entry-level,Part-time,Machine Learning and AI,12000,Remote,US,S
Entry-level,Full-time,Computer Vision,70000,Remote,US,M
Mid-level,Full-time,Computer Vision,95746,Remote,US,S
Mid-level,Full-time,Data Analysis,75000,In-person,US,L
Senior,Full-time,Data Engineering,150000,Remote,US,L
Mid-level,Full-time,BI and Visualization,36259,Hybrid,US,L
Mid-level,Full-time,Data Analysis,62000,In-person,US,L
Mid-level,Full-time,Data Scientist,73000,In-person,US,L
Mid-level,Full-time,Data Analysis,51519,Hybrid,GB,L
Mid-level,Full-time,Data Science and Research,187442,Remote,CA,L
Senior,Full-time,Data Engineering,115000,Remote,US,S
Senior,Full-time,Data Engineering,150000,Remote,US,M
Entry-level,Full-time,Data Engineering,30428,Remote,IN,L
Senior,Full-time,Machine Learning and AI,94564,Hybrid,DE,L
Senior,Full-time,Data Engineering,113476,Remote,GB,M
Senior,Full-time,Data Engineering,103160,Remote,GB,S
Entry-level,Part-time,Machine Learning and AI,12000,Remote,US,M
Mid-level,Full-time,Data Engineering,45391,Remote,NL,L
Entry-level,Full-time,Machine Learning and AI,225000,Remote,US,L
Mid-level,Full-time,Data Scientist,50000,Remote,NG,L
Mid-level,Full-time,Data Science and Research,40189,Remote,GR,M
Entry-level,Full-time,Data Analysis,90000,Remote,US,S
Mid-level,Full-time,Data Engineering,200000,Remote,US,L
Mid-level,Full-time,Data Engineering,60000,Hybrid,RO,M
Senior,Full-time,Data Engineering,200000,Remote,US,M
Entry-level,Full-time,Data Analysis,50000,Remote,US,M
Entry-level,Full-time,Data Science and Research,110037,In-person,GB,L
Entry-level,Part-time,Data Analysis,10354,Hybrid,ES,M
Mid-level,Full-time,Data Science and Research,151000,Remote,US,L
Senior,Full-time,Machine Learning and AI,120000,Hybrid,US,S
Mid-level,Full-time,Data Scientist,9466,In-person,IN,S
Entry-level,Full-time,Machine Learning and AI,20000,Remote,IN,S
Senior,Full-time,Data Science and Research,40570,Hybrid,IN,L
Entry-level,Full-time,Machine Learning and AI,100000,Hybrid,IQ,S
Entry-level,Full-time,Data Scientist,49646,Hybrid,FR,M
Mid-level,Full-time,Machine Learning and AI,38400,Remote,US,M
Senior,Full-time,Computer Vision,24000,Remote,BR,M
Entry-level,Full-time,Data Scientist,100000,In-person,US,S
Mid-level,Full-time,Data Analysis,90000,Remote,US,M
Mid-level,Full-time,Machine Learning and AI,63711,Hybrid,JP,S
Mid-level,Full-time,Machine Learning and AI,77364,Hybrid,JP,S
Senior,Full-time,Data Science and Research,220000,In-person,US,L
Entry-level,Full-time,Data Scientist,80000,Remote,US,M
Mid-level,Full-time,Data Analysis,135000,Remote,US,L
Senior,Full-time,Leadership and Management,240000,In-person,US,L
Senior,Full-time,Leadership and Management,150000,In-person,US,L
Mid-level,Full-time,Data Scientist,82500,Remote,US,S
Mid-level,Full-time,Data Engineering,100000,Remote,US,L
Senior,Full-time,Machine Learning and AI,82744,Hybrid,BE,M
Mid-level,Full-time,Data Science and Research,62649,Hybrid,FR,M
Mid-level,Full-time,Data Engineering,90000,Remote,US,L
Senior,Full-time,Leadership and Management,153000,Remote,US,L
Senior,Full-time,Cloud and Database,160000,Remote,US,S
Senior,Full-time,Data Science and Research,168000,In-person,JP,S
Mid-level,Full-time,Data Scientist,150000,Remote,US,M
Mid-level,Full-time,Data Scientist,75774,Remote,CA,L
Entry-level,Full-time,Data Scientist,13400,Remote,UA,L
Senior,Full-time,Leadership and Management,144000,Remote,US,L
Senior,Full-time,Data Science and Research,127221,Hybrid,CA,L
Mid-level,Full-time,Data Scientist,119059,Remote,IL,M
Senior,Full-time,Leadership and Management,120000,Remote,US,M
Entry-level,Full-time,Machine Learning and AI,125000,Remote,US,S
Executive,Full-time,Data Quality and Operations,230000,Hybrid,RU,L
Executive,Full-time,Data Science and Research,85000,In-person,RU,M
Mid-level,Full-time,Data Engineering,28369,Hybrid,MT,L
Entry-level,Full-time,Data Architecture and Modeling,63831,Hybrid,DE,L
Executive,Full-time,Data Science and Research,130026,Hybrid,DE,M
